,name,rating,types,reviews,salary,jobs,interviews,Locations
3449,Peel-works,3.6,Software Product,321,652,--,10,Bengaluru +24 other locations
3450,Siti Networks,3.9,Media & Entertainment,321,1k,--,11,Noida +53 other locations
3451,MIOT INTERNATIONAL,3.3,Healthcare,321,1.3k,29,18,Chennai +9 other locations
3452,Inventia Healthcare,4.0,Pharma,321,1.8k,5,14,Mumbai +11 other locations
3453,Jms Mining Services,4.0,Metals & Mining,321,1k,--,41,Kolkata +30 other locations
3454,Highway Industries,4.0,Engineering & Construction,321,1.3k,3,22,Ludhiana +18 other locations
3455,Novel Office,4.0,Real Estate,321,725,79,70,Bengaluru +14 other locations
3456,convergys india services,3.5,,320,1k,--,29,
3457,"Nitor Infotech, an Ascendion company",4.0,Software Product,320,2.1k,17,52,Pune +7 other locations
3458,Sheraton Hotels and Resorts,3.8,Hospitality,320,654,--,10,Bengaluru +23 other locations
3459,EXO Edge,3.5,BPO,320,1.2k,9,39,Sahibzada Ajit Singh Nagar +6 other locations
3460,EXO Edge,3.5,BPO,320,1.2k,9,39,Sahibzada Ajit Singh Nagar +6 other locations
3461,IQ BackOffice,3.6,Financial Services,320,1.6k,2,17,Chennai +7 other locations
3462,Aristocrat,3.6,Gaming,320,2.5k,15,61,Noida +10 other locations
3463,ETA Engineering,3.2,Engineering & Construction,320,828,3,9,New Delhi +24 other locations
3464,Kusum Healthcare,4.0,Pharma,320,1.3k,6,16,Bhiwadi +8 other locations
3465,IFFCO Kisan Sanchar,3.6,Agro Chemicals,319,731,--,26,New Delhi +71 other locations
3466,Cactus Communications,3.4,Software Product,319,1.7k,54,55,Mumbai +13 other locations
3467,Stellantis Avtec Powertrain,3.6,,319,1.4k,--,14,
3468,CG Foods,3.5,Food Processing,319,2.1k,14,12,Guwahati +53 other locations
3469,Lincoln Pharmaceuticals,3.4,Pharma,319,1.3k,29,21,Ahmedabad +28 other locations
3470,Swastika Investmart,3.7,Investment Banking / Venture Capital / Private Equity,319,1.1k,9,15,Indore +47 other locations
3471,Olectra Greentech,3.3,Automobile,319,1.3k,25,28,Hyderabad +27 other locations
3472,Apisero,4.3,IT Services & Consulting,319,2.5k,--,67,Bengaluru +11 other locations
3473,Ubisoft Entertainment,3.6,Gaming,319,2k,1,38,Pune +7 other locations
3474,MDC Group of Companies,4.8,Pharma,318,89,5,3,Mumbai +5 other locations
3475,Jorie Healthcare,3.9,Healthcare,318,445,3,10,Sahibzada Ajit Singh Nagar +7 other locations
3476,Laser Power & Infra,3.6,Electrical Equipment,318,1.1k,1,20,Kolkata +42 other locations
3477,SAR Group,3.9,Consumer Electronics & Appliances,318,1.4k,--,13,Gurugram +38 other locations
3478,Adani Gas,3.0,Oil & Gas,318,1.4k,--,37,Ahmedabad +53 other locations
3479,Radiant Cash Management Services,3.4,Financial Services,318,990,--,9,Chennai +60 other locations
3480,SAR Group,3.9,Consumer Electronics & Appliances,318,1.4k,--,13,Gurugram +38 other locations
3481,Adani Gas,3.0,Oil & Gas,318,1.4k,--,37,Ahmedabad +53 other locations
3482,Mit World Peace University,3.9,Education & Training,318,1.1k,4,18,Pune +5 other locations
3483,Genisys Group,3.6,IT Services & Consulting,318,1.3k,21,21,Bengaluru +13 other locations
3484,Cohizon Life Sciences Limited,3.4,Chemicals,318,1.6k,2,25,Ankleshwar +13 other locations
3485,BOLD Technology Systems,3.1,Software Product,318,1.7k,17,48,Noida +8 other locations
3486,Awfis,4.3,Real Estate,318,1.2k,39,20,New Delhi +17 other locations
3487,Ratnamani Metals and Tubes,4.2,Iron & Steel,317,1.2k,9,15,Ahmedabad +17 other locations
3488,Alkyl Amines,4.0,Chemicals,317,1.3k,--,15,Pune +14 other locations
3489,Leixir Dental Group,4.4,Healthcare,317,649,3,123,Gurugram +2 other locations
3490,AAJ Supply Chain Management,4.0,Logistics,317,772,4,44,New Delhi +22 other locations
3491,Darwinbox,3.6,Software Product,317,2.3k,--,56,Hyderabad +11 other locations
3492,VML,3.5,Marketing & Advertising,317,2k,28,21,Noida +14 other locations
3493,Honda India Power Products,4.1,Industrial Machinery,317,1.1k,--,27,Greater Noida +29 other locations
3494,Aksentt Tech Services,4.5,IT Services & Consulting,316,402,1,155,Mumbai +20 other locations
3495,ZIM Laboratories,3.0,Pharma,316,1.4k,9,11,Nagpur +10 other locations
3496,Tenon Facility Management,3.6,Facility Management Services,316,1.1k,--,21,Gurugram +47 other locations
3497,RHI Magnesita,3.7,Building Material,316,1.3k,2,18,Gurugram +42 other locations
3498,Renom Energy Services,4.2,Engineering & Construction,316,1k,--,21,Pune +48 other locations
3499,Moody's Analytics,4.0,Analytics & KPO,316,2.4k,18,24,Bengaluru +5 other locations
3500,ClaySys,3.7,IT Services & Consulting,316,963,9,77,Kochi +9 other locations
3501,Kent plc,4.1,Oil & Gas,316,705,44,25,Mumbai +28 other locations
3502,JUNIPER GREEN ENERGY,4.5,Power,316,781,1,35,Gurugram +37 other locations
3503,ProConnect Integrated Logistics,3.7,Logistics,315,1.4k,3,12,Chennai +47 other locations
3504,AI Variant,4.2,IT Services & Consulting,315,1.5k,--,39,Bengaluru +12 other locations
3505,Telesonic Networks,3.8,Telecom,315,794,--,8,Chennai +46 other locations
3506,Omax Autos,3.7,Auto Components,315,971,--,12,Gurugram +18 other locations
3507,Manba Finance Limited,4.0,NBFC,315,921,--,15,Mumbai +35 other locations
3508,Tata Play Fiber,4.0,Telecom,315,1.2k,--,16,Mumbai +32 other locations
3509,Softcell Technologies,3.9,IT Services & Consulting,315,1.9k,8,24,Mumbai +16 other locations
3510,Zydus Hospital,4.3,Healthcare,315,1.1k,4,14,Ahmedabad +12 other locations
3511,Resurgent India,3.9,Investment Banking / Venture Capital / Private Equity,315,556,15,4,Gurugram +11 other locations
3512,Fidelis Technology Services,3.2,IT Services & Consulting,315,1.7k,--,19,Bengaluru +35 other locations
3513,Danske IT,3.6,IT Services & Consulting,315,1.7k,--,19,Bengaluru +2 other locations
3514,Jasper Colin,3.9,Analytics & KPO,315,740,11,41,Noida +10 other locations
3515,Zeta,3.2,Emerging Technologies,315,3.1k,20,80,Bengaluru +12 other locations
3516,Lernx,3.8,,315,68,--,56,
3517,Taal Tech India,4.0,IT Services & Consulting,315,1.5k,33,21,Bengaluru +9 other locations
3518,ESIC HOSPITAL,4.0,Healthcare,315,938,--,14,New Delhi +61 other locations
3519,Markelytics Solutions,4.5,Analytics & KPO,314,351,1,2,Bengaluru +5 other locations
3520,Signutra (Health & Nutrition Division of Win - Medicare Pvt Ltd),4.3,Pharma,314,455,--,17,New Delhi +58 other locations
3521,Indo Farm Equipment,3.1,Industrial Machinery,314,933,6,15,Baddi +45 other locations
3522,InsanelyGood,4.0,Internet,314,1.3k,--,20,Bengaluru +25 other locations
3523,Bnp Paribas Securities,3.7,Financial Services,314,1.9k,--,13,Chennai +8 other locations
3524,Elico Healthcare Services,3.3,Analytics & KPO,314,894,3,22,Hyderabad +4 other locations
3525,MARK EXHAUST SYSTEMS,4.2,Auto Components,314,1.1k,--,20,Gurugram +11 other locations
3526,SPML Infra,4.0,Engineering & Construction,314,834,84,24,Kolkata +51 other locations
3527,Avanse Financial Services,3.9,Financial Services,314,1.5k,10,29,Mumbai +26 other locations
3528,Annexmed,3.2,,314,1.4k,24,16,
3529,Laxmi Civil Engineering Services,4.1,Engineering & Construction,314,895,--,17,Kolhapur +57 other locations
3530,Arya Omnitalk,3.8,Electronics Manufacturing,314,986,19,20,Pune +71 other locations
3531,CR3 Group,3.8,Facility Management Services,313,1k,10,23,Jamnagar +27 other locations
3532,Competent Software,3.4,IT Services & Consulting,313,542,5,7,New Delhi +9 other locations
3533,Paragon Digital Services,3.2,Marketing & Advertising,313,2k,--,22,Chennai +7 other locations
3534,Narula Infrastructure,3.6,Engineering & Construction,313,654,1,20,Kolkata +60 other locations
3535,Fino Paytech,3.2,FinTech,313,569,--,7,Mumbai +81 other locations
3536,Smaaash Entertainment,4.1,Sports & Recreation,313,739,--,33,Mumbai +28 other locations
3537,DEC Infra,3.7,Real Estate,313,1.3k,--,30,Hyderabad +22 other locations
3538,Sphinx Worldbiz,3.4,Engineering & Construction,313,1.4k,4,37,Pune +18 other locations
3539,Iconic,4.0,Retail,313,914,11,35,Gurugram +26 other locations
3540,Silverskills,3.4,BPO,313,1.1k,9,28,Gurugram +11 other locations
3541,Iconic,4.0,Retail,313,914,11,35,Gurugram +26 other locations
3542,Jaiprakash Power Ventures,4.0,Power,312,1.1k,--,31,Singrauli +21 other locations
3543,ITC ABD,3.7,Agriculture,312,1.2k,--,17,Guntur +78 other locations
3544,Walsons Facility Solutions,3.9,Recruitment,312,1.2k,--,13,Gurugram +41 other locations
3545,ILJIN ELECTRONICS,3.8,Semiconductors,312,924,--,23,Noida +16 other locations
3546,Ozone Pharmaceuticals,3.7,Pharma,312,962,3,13,New Delhi +46 other locations
3547,Ms Agarwal Foundries,4.2,Iron & Steel,312,899,1,34,Hyderabad +14 other locations
3548,Manipal Technologies,4.0,Printing & Publishing,312,1.9k,7,13,Bengaluru +32 other locations
3549,Xpheno,3.4,Recruitment,312,1.6k,3,22,Bengaluru +40 other locations
3550,Vashi Integrated Solutions Limited,3.7,Industrial Machinery,312,1.5k,83,23,Mumbai +27 other locations
3551,Himedia Laboratories,4.1,Biotechnology,312,1.2k,--,79,Mumbai +20 other locations
3552,ZF India Technology Center,3.7,Auto Components,312,2.1k,68,40,Hyderabad +6 other locations
3553,Futurense Technologies,4.0,EdTech,312,756,--,41,Bengaluru +9 other locations
3554,Miles Education,3.2,Education & Training,312,734,16,40,Bengaluru +12 other locations
3555,Bharat IT Services,3.3,IT Services & Consulting,311,1.1k,--,17,New Delhi +50 other locations
3556,Infiniti Software Solutions,4.5,Software Product,311,572,16,108,Chennai +6 other locations
3557,Deepak Phenolics,4.4,Chemicals,311,1.6k,--,27,Bharuch +12 other locations
3558,Gammon Engineers And Contractors,4.0,Engineering & Construction,311,1.1k,--,22,Mumbai +40 other locations
3559,ABI Showatech,3.5,Auto Components,311,1.1k,--,10,Chennai +11 other locations
3560,NACL Industries,4.0,Agro Chemicals,311,1.1k,13,28,Hyderabad +53 other locations
3561,Angelique International,4.5,Engineering & Construction,311,1k,6,14,Noida +21 other locations
3562,SVC Co-Operative Bank,3.9,Banking,311,1.3k,5,18,Mumbai +40 other locations
3563,ARDEM Incorporated,3.9,BPO,311,576,16,37,Lucknow +6 other locations
3564,Tamilnad Mercantile Bank,2.5,Banking,310,1k,--,19,Chennai +76 other locations
3565,Military Engineer Services,4.6,Engineering & Construction,310,649,--,13,New Delhi +77 other locations
3566,Karvy Financial Services,3.9,Financial Services,310,1.3k,--,12,Hyderabad +41 other locations
3567,HungerBox,3.6,Internet,310,1k,8,19,Bengaluru +15 other locations
3568,Princess Cruises,3.9,Travel & Tourism,310,358,--,13,Mumbai +20 other locations
3569,Dainik Jagran,3.4,Printing & Publishing,310,1.2k,--,14,New Delhi +56 other locations
3570,Alicon Castalloy,3.4,Auto Components,310,1.2k,3,12,Pune +12 other locations
3571,Jodas Expoim,3.2,Pharma,310,1.3k,16,25,Hyderabad +6 other locations
3572,MSD Pharmaceuticals,3.7,Pharma,310,1.6k,64,30,Mumbai +50 other locations
3573,ATMECS Global,3.2,IT Services & Consulting,310,2.4k,5,37,Hyderabad +7 other locations
3574,UNITILE,4.6,Building Material,310,370,16,43,Mumbai +15 other locations
3575,Sakon,2.9,Software Product,310,1.9k,2,36,Pune +2 other locations
3576,TAJSATS AIR CATERING,4.1,Hospitality,309,972,9,15,Mumbai +17 other locations
3577,Ck Birla Hospitals,4.0,Healthcare,309,1.1k,--,15,Kolkata +7 other locations
3578,Electrical Research & Development Association,3.8,Electrical Equipment,309,939,6,17,Vadodara +27 other locations
3579,Frigorifico Allana,3.9,Food Processing,309,1.1k,--,14,Chhatrapati Sambhajinagar +33 other locations
3580,Frigorifico Allana,3.9,Food Processing,309,1.1k,--,14,Chhatrapati Sambhajinagar +33 other locations
3581,Jaguar Land Rover,3.9,Automobile,309,1.7k,11,32,Pune +31 other locations
3582,Essar Projects India,3.8,Engineering & Construction,309,749,--,10,Surat +42 other locations
3583,Newt Global,4.3,IT Services & Consulting,309,798,18,61,Chennai +9 other locations
3584,KEPCO Plant Service & Engineering,3.7,Engineering & Construction,309,1k,1,17,Bhavnagar +22 other locations
3585,Quintessence Business Solutions & Services,3.8,Analytics & KPO,308,1k,--,9,Coimbatore +2 other locations
3586,Hinduja Finance,3.9,NBFC,308,966,--,12,Chennai +137 other locations
3587,Ninestars Information Technologies Pvt. Ltd,3.3,Software Product,308,1.5k,--,22,Bengaluru +14 other locations
3588,Azure Power,3.9,Power,308,1.2k,--,23,New Delhi +25 other locations
3589,Molecular Connections,3.2,IT Services & Consulting,308,1.4k,2,21,Bengaluru +11 other locations
3590,Airtel DTH Services,4.1,Telecom,308,867,--,27,Gurugram +109 other locations
3591,Tata Marcopolo Motors,3.8,Auto Components,308,1.1k,--,18,Dharwad +12 other locations
3592,JSW Steel Coated Products,3.9,,308,1.1k,--,29,
3593,Cameo Corporate Services,3.3,BPO,308,1.2k,21,17,Chennai +16 other locations
3594,Sabre,3.9,Software Product,308,2.3k,79,38,Bengaluru +10 other locations
3595,SGT University,3.5,Education & Training,308,1k,3,22,Gurugram +8 other locations
3596,DynPro,3.7,IT Services & Consulting,308,1.4k,--,34,Bengaluru +16 other locations
3597,Adani Energy Solutions,3.5,Power,308,1.2k,861,23,Ahmedabad +80 other locations
3598,Equinox Labs,3.9,Clinical Research,308,919,11,44,Mumbai +17 other locations
3599,BYJU'S Exam Prep,3.7,EdTech,308,1.1k,--,25,Noida +26 other locations
3600,Inlead Electronics,3.9,Consumer Electronics & Appliances,308,930,--,11,Mumbai +45 other locations
3601,KnowledgeHut,4.4,EdTech,307,791,--,12,Bengaluru +19 other locations
3602,TIDC India,3.8,Industrial Machinery,307,1.3k,--,12,Chennai +30 other locations
3603,ISMT,3.8,Iron & Steel,307,1.1k,--,19,Pune +6 other locations
3604,Embee Software,3.7,Software Product,307,1.3k,--,9,Kolkata +22 other locations
3605,Van Heusen,3.9,Fashion & Textile,307,699,--,16,New Delhi +79 other locations
3606,Hindustan Times,3.2,Media & Entertainment,307,2k,--,17,New Delhi +38 other locations
3607,H&R Block,4.1,Accounting & Auditing,307,1.8k,8,25,Thiruvananthapuram +13 other locations
3608,Indus Valley Partners,2.9,IT Services & Consulting,307,2.6k,33,59,Noida +9 other locations
3609,Guiltfree Industries,3.5,FMCG,308,1k,4,34,Kolkata +64 other locations
3610,LetsTransport,3.6,Logistics,306,1.1k,--,25,Bengaluru +32 other locations
3611,Cavisson Systems,2.3,IT Services & Consulting,306,1.7k,5,23,Noida +5 other locations
3612,Yum!,4.2,Hospitality,306,1.3k,23,19,Gurugram +28 other locations
3613,The Indian Hume Pipe Co.,3.8,Building Material,306,1k,3,21,Mumbai +53 other locations
3614,Themis Medicare,3.7,Pharma,306,1.1k,5,14,Mumbai +51 other locations
3615,Automotive Robotics (India),3.5,Industrial Automation,306,2.3k,8,37,Chennai +7 other locations
3616,CQRA,4.3,Engineering & Construction,306,869,7,24,Hyderabad +29 other locations
3617,Cliantha Research,4.0,Clinical Research,306,1.3k,5,19,Ahmedabad +12 other locations
3618,Nissin Brake,4.3,Auto Components,305,803,--,12,Neemrana +13 other locations
3619,SBS,2.6,IT Services & Consulting,305,2.2k,--,29,Noida +8 other locations
3620,SBS,2.6,IT Services & Consulting,305,2.2k,--,29,Noida +8 other locations
3621,Internshala,3.7,EdTech,305,961,1,64,Gurugram +26 other locations
3622,Pitney Bowes,3.7,IT Services & Consulting,305,1.9k,17,23,Pune +15 other locations
3623,Micro Plastics Private Limited,3.7,,305,1.3k,8,33,
3624,Diya Systems,3.2,BPO,305,1.2k,--,23,Mangaluru +8 other locations
3625,Zee Laboratories,3.2,Pharma,305,883,30,37,Karnal +34 other locations
3626,Meitra Hospital,4.5,Healthcare,305,364,1,15,Kozhikode +4 other locations
3627,Domino Printech India LLP,4.3,Industrial Automation,305,847,11,69,Gurugram +31 other locations
3628,Nimbus Harbor Facilities Management,4.0,Facility Management Services,304,919,--,15,Gurugram +18 other locations
3629,TCPL Packaging,4.0,Packaging,304,1.4k,1,20,Dadra & Nagar Haveli +50 other locations
3630,Katerra,3.5,Engineering & Construction,304,1.8k,--,22,Bengaluru +18 other locations
3631,Girmiti Software,4.2,IT Services & Consulting,304,1.5k,--,15,Bengaluru +4 other locations
3632,SS Supply Chain Solutions,3.6,IT Services & Consulting,304,1.1k,11,15,Gurugram +35 other locations
3633,Checkmate Services,3.9,Facility Management Services,304,860,1,19,Vadodara +68 other locations
3634,Madina Group,4.5,Oil & Gas,304,515,--,25,Doha +20 other locations
3635,Dyninno India,4.0,IT Services & Consulting,304,655,4,40,Gurugram +5 other locations
3636,KHY ELECTRONIC,3.9,,304,977,--,31,
3637,Moder Solutions,3.3,IT Services & Consulting,304,1.8k,17,28,Bengaluru +10 other locations
3638,Koenig Solutions,3.5,Education & Training,304,1.1k,134,37,New Delhi +15 other locations
3639,GSH Group,4.2,Facility Management Services,304,973,32,11,Chennai +36 other locations
3640,TATWA Technologies,3.3,IT Services & Consulting,304,852,5,17,Bhubaneswar +14 other locations
3641,Bharat Wire Ropes,3.6,Iron & Steel,304,1.3k,16,42,Mumbai +12 other locations
3642,Cyber Infrastructure,3.5,IT Services & Consulting,304,1.4k,20,40,Indore +12 other locations
3643,Amcor Flexibles India,3.8,Packaging,304,1.3k,2,14,Bharuch +19 other locations
3644,Futwork,3.7,Internet,303,283,--,30,Mumbai +20 other locations
3645,Ruby Hall Clinic,3.9,Healthcare,303,976,--,16,Pune +8 other locations
3646,Mindteck,3.0,IT Services & Consulting,303,2.3k,20,25,Bengaluru +9 other locations
3647,ArcGate,2.9,IT Services & Consulting,303,1.1k,16,25,Udaipur +3 other locations
3648,Navneet Education,4.0,Printing & Publishing,303,1.3k,--,15,Mumbai +47 other locations
3649,Smart Value Products And Services,4.2,FMCG,303,615,--,17,Gurugram +74 other locations
3650,Munjal Kiriu Industries,3.8,Auto Components,302,857,--,15,Gurugram +9 other locations
3651,Amrutanjan Health Care,4.0,Pharma,302,690,--,22,Chennai +53 other locations
3652,Danone Foods Beverages,3.5,Food Processing,302,1.2k,1,12,Mumbai +57 other locations
3653,Ordnance Factory,4.3,Government,302,602,--,12,Hyderabad +37 other locations
3654,Gawar Construction,4.1,Engineering & Construction,302,868,--,17,New Delhi +38 other locations
3655,Soma Enterprises,4.6,Engineering & Construction,302,749,--,7,Hyderabad +49 other locations
3656,Hudson's Bay Company,3.9,Retail,302,1.9k,--,26,Bengaluru +8 other locations
3657,NatWest Markets,3.9,Banking,302,2.8k,5,18,Gurugram +10 other locations
3658,Arabian Construction Company,3.1,Engineering & Construction,302,781,--,28,Kolkata +28 other locations
3659,Doha Petroleum Construction Company,3.8,Oil & Gas,302,649,--,26,Doha +14 other locations
3660,Netsmartz Infotech,3.8,IT Services & Consulting,302,1.3k,8,26,Chandigarh +8 other locations
3661,NatWest Markets,3.9,Banking,302,2.8k,5,18,Gurugram +10 other locations
3662,HostBooks,3.1,Software Product,302,657,1,20,Gurugram +8 other locations
3663,Piramal Foundation,4.2,Non-Profit,301,854,--,18,New Delhi +84 other locations
3664,IM Gears,3.5,Auto Components,301,1k,1,16,Chennai +6 other locations
3665,THE GUARDIANS Real Estate Advisory,3.6,Real Estate,301,1.3k,19,26,Mumbai +10 other locations
3666,Aspiro Pharma,3.8,Pharma,302,1.1k,--,15,Hyderabad +5 other locations
3667,Sahayog Multistate Credit Co-operative Society,3.6,Banking,301,827,--,16,Nagpur +77 other locations
3668,Citrix,3.2,Software Product,301,2.4k,--,54,Bengaluru +6 other locations
3669,Myk Schomburg,3.9,Chemicals,301,927,--,19,Hyderabad +50 other locations
3670,Mirafra Technologies,3.7,Semiconductors,301,2.9k,93,59,Bengaluru +9 other locations
3671,1K Networks,3.2,Retail,301,1.2k,--,25,Gurugram +21 other locations
3672,Asort Company,3.9,Internet,301,397,--,21,Gurugram +59 other locations
3673,Orix Auto Infrastructure Services,4.1,Logistics,301,953,--,15,Mumbai +19 other locations
3674,VVF,3.9,Chemicals,301,1.3k,7,14,Mumbai +18 other locations
3675,ecare India,3.9,Analytics & KPO,301,1.2k,18,18,Chennai +4 other locations
3676,Rheinmetall Automotive,3.9,Auto Components,301,1.2k,14,25,Pune +12 other locations
3677,NVH India Auto Parts,3.3,Auto Components,301,1.2k,--,15,Chennai +14 other locations
3678,Chubb,3.4,Insurance,301,3.3k,9,67,Hyderabad +7 other locations
3679,Gaja Engineering,4.2,Engineering & Construction,301,1.1k,6,27,Hyderabad +34 other locations
3680,Rucha Engineers,3.8,Industrial Machinery,300,1.3k,1,19,Chhatrapati Sambhajinagar +13 other locations
3681,Tata Green Batteries,3.9,Auto Components,300,798,--,23,Pune +39 other locations
3682,Dahua Technology India Pvt.Ltd.,3.5,IT Services & Consulting,300,1.1k,2,25,New Delhi +49 other locations
3683,Unibic Foods,3.6,Food Processing,300,1k,1,15,Bengaluru +46 other locations
3684,Hardcastle Restaurants,3.7,Hospitality,300,807,11,18,Mumbai +33 other locations
3685,Lanco Infratech,4.5,Engineering & Construction,300,652,--,3,Gurugram +31 other locations
3686,Ahresty India,3.8,Auto Components,300,1.1k,--,23,Rewari +11 other locations
3687,Metric Stream Infotech,3.2,Internet,300,2.2k,--,19,Bengaluru +5 other locations
3688,Murugappa Group,4.0,Agro Chemicals,300,1.3k,54,20,Chennai +84 other locations
3689,LatentView Analytics,3.6,IT Services & Consulting,300,3.1k,30,75,Chennai +11 other locations
3690,Bird Worldwide Flight Services,3.4,Aviation,300,770,3,30,New Delhi +13 other locations
3691,BMW,4.2,Automobile,300,1.7k,--,23,Chennai +35 other locations
3692,Renewsys India,4.0,Power,300,1.4k,9,24,Hyderabad +20 other locations
3693,Money View,4.1,FinTech,300,1.6k,17,36,Bengaluru +24 other locations
3694,Xylem Water Solutions,3.7,Waste Management,300,2k,73,30,Vadodara +19 other locations
3695,Titan Laboratories,3.4,Pharma,300,1k,24,8,Mumbai +12 other locations
3696,AltezzaSys,3.8,IT Services & Consulting,300,787,6,68,Noida +14 other locations
3697,Innoviti Technologies Private Limited,2.9,FinTech,300,1.5k,1,23,Bengaluru +49 other locations
3698,MN Dastur & Company,4.0,Metals & Mining,300,741,1,11,Kolkata +13 other locations
3699,Integra Global Solutions,3.5,Financial Services,299,1.5k,23,33,Coimbatore +3 other locations
3700,Global Opportunities,4.2,EdTech,299,536,--,40,New Delhi +19 other locations
3701,Airbnb,3.6,Internet,299,1.6k,15,28,Gurugram +11 other locations
3702,Thomson Digital,3.9,Printing & Publishing,299,749,--,29,Noida +8 other locations
3703,Bristol-Myers Squibb,3.5,Pharma,299,1.9k,111,33,Hyderabad +16 other locations
3704,Business Integrity Services,4.3,BPO,299,537,--,58,Chennai +2 other locations
3705,Segula Technologies,3.4,Engineering & Construction,299,1.8k,2,30,Chennai +7 other locations
3706,TJSB Sahakari Bank,3.6,Banking,299,1.3k,1,23,Mumbai +28 other locations
3707,T R Chadha & Co Llp,3.3,Accounting & Auditing,299,1.2k,7,21,Mumbai +14 other locations
3708,Vinati Organics,3.9,Chemicals,299,1.6k,5,16,Chiplun +12 other locations
3709,Renewsys India,4.0,Power,300,1.4k,9,24,Hyderabad +20 other locations
3710,Altruist Customer Management India,4.0,BPO,297,1k,--,39,Chennai +14 other locations
3711,ICRA,3.2,Financial Services,298,1.6k,2,30,Mumbai +17 other locations
3712,Rooman Technologies,3.7,Education & Training,298,792,1,14,Bengaluru +42 other locations
3713,AXIS MY INDIA,3.0,Analytics & KPO,298,489,5,20,Mumbai +22 other locations
3714,Tata ClassEdge,3.6,EdTech,298,932,10,16,Mumbai +48 other locations
3715,FUJIFILM,4.1,Animation & VFX,298,1.1k,--,16,Gurugram +32 other locations
3716,Allanasons,4.0,Food Processing,298,1.1k,15,21,Mumbai +32 other locations
3717,GlobalStep,2.2,IT Services & Consulting,298,1.8k,6,31,Pune +6 other locations
3718,LANXESS India Private Limited,4.2,Chemicals,298,1.2k,9,21,Mumbai +18 other locations
3719,Busibud,3.6,Emerging Technologies,298,125,--,43,Chandigarh +21 other locations
3720,ICRA,3.2,Financial Services,298,1.6k,2,30,Mumbai +17 other locations
3721,Rooman Technologies,3.7,Education & Training,298,792,1,14,Bengaluru +42 other locations
3722,Fexprime Finance,4.5,Financial Services,298,707,--,7,New Delhi +47 other locations
3723,Junglee Games,4.1,Gaming,298,1.7k,7,51,Gurugram +7 other locations
3724,ARCADIS,4.1,IT Services & Consulting,298,1.8k,84,37,Bengaluru +27 other locations
3725,Bhandari Automobiles,3.7,Automobile,297,883,--,15,Kolkata +29 other locations
3726,Alf Engineering,4.0,Auto Components,297,1.3k,--,30,Nashik +14 other locations
3727,AIS Glass Solutions,3.6,Building Material,297,1.4k,--,27,Chennai +31 other locations
3728,Cognizant Solutions Corp,3.8,IT Services & Consulting,297,2.3k,--,62,Hyderabad +15 other locations
3729,IT By Design,3.1,IT Services & Consulting,297,1.6k,5,42,Noida +12 other locations
3730,Merino Laminates,3.9,Consumer Electronics & Appliances,297,994,10,15,New Delhi +54 other locations
3731,Saregama India,4.0,Media & Entertainment,297,904,--,9,Mumbai +40 other locations
3732,GMR Energy,4.0,Power,297,996,--,20,New Delhi +38 other locations
3733,R L Fine Chem,3.6,Pharma,297,1.6k,6,22,Bengaluru +7 other locations
3734,Namdev Finvest,3.7,Financial Services,297,564,--,12,Jaipur +66 other locations
3735,Blenheim Chalcot,2.7,IT Services & Consulting,297,1.6k,7,52,Mumbai +9 other locations
3736,Arena Animation,3.6,Education & Training,297,999,25,20,New Delhi +63 other locations
3737,Kshema General Insurance,4.3,Insurance,297,569,12,17,Hyderabad +23 other locations
3738,Mukand Limited,3.6,Iron & Steel,297,1.2k,20,14,Mumbai +19 other locations
3739,RNF Technologies,2.9,IT Services & Consulting,297,1.3k,2,38,Noida +6 other locations
3740,RNF Technologies,2.9,IT Services & Consulting,297,1.3k,2,38,Noida +6 other locations
3741,Vilas Javdekar Developers,3.8,Real Estate,297,1.2k,20,33,Pune +4 other locations
3742,Spm Autocomp,3.6,Auto Components,297,1.2k,--,24,Pune +16 other locations
3743,ScoreMe Solutions,3.3,Software Product,297,473,--,10,Gurugram +5 other locations
3744,Can-Pack,4.4,Packaging,296,1.2k,1,21,Chhatrapati Sambhajinagar +11 other locations
3745,SSF PLASTICS,3.5,Petrochemicals,296,1.2k,3,18,Hosur +15 other locations
3746,IndianOil Adani Ventures,4.0,Oil & Gas,296,976,--,20,Paradip +28 other locations
3747,Garware Technical Fibres,3.7,Fashion & Textile,296,1.3k,4,17,Pune +27 other locations
3748,Woodland,3.4,Fashion & Textile,296,915,--,14,New Delhi +66 other locations
3749,NAFFCO,3.2,Law Enforcement & Security,296,782,--,25,Chennai +23 other locations
3750,McAfee,3.7,Software Product,296,2.9k,10,34,Bengaluru +10 other locations
3751,Shreya Life Sciences,4.0,Pharma,296,614,--,12,Chhatrapati Sambhajinagar +64 other locations
3752,Sigmoid,3.8,Analytics & KPO,296,2.3k,60,83,Bengaluru +7 other locations
3753,Ratnadeep Retail,4.2,Retail,296,1k,10,21,Hyderabad +13 other locations
3754,EnFuse Solutions,4.1,IT Services & Consulting,296,699,41,39,Mumbai +40 other locations
3755,SEABIRD LOGISOLUTIONS,3.8,Logistics,296,1.1k,9,20,Pune +31 other locations
3756,Goldmedal Electricals,3.7,Electrical Equipment,295,1.2k,3,16,Mumbai +74 other locations
3757,HyScaler,4.3,IT Services & Consulting,295,259,--,104,Bhubaneswar +3 other locations
3758,Roki Minda Co,4.5,Auto Components,295,826,--,10,Chennai +19 other locations
