,name,rating,types,reviews,salary,jobs,interviews,Locations
6336,NHPC,4.2,Power,175,489,--,13,Faridabad +26 other locations
6337,Apptunix,4.2,Software Product,175,456,--,65,Sahibzada Ajit Singh Nagar +5 other locations
6338,GUVI,3.5,EdTech,175,834,1,29,Chennai +9 other locations
6339,Mega Rubber Technologies,3.6,Auto Components,175,729,--,11,Gurugram +15 other locations
6340,Radix Electrosystems,3.4,Electronics Manufacturing,175,786,4,16,Mumbai +14 other locations
6341,Informatica,3.8,Software Product,175,2.2k,--,31,Bengaluru +10 other locations
6342,St. Joseph's School,4.2,Education & Training,175,530,1,11,Lucknow +66 other locations
6343,Saraca Solutions,4.0,IT Services & Consulting,175,546,57,26,Noida +9 other locations
6344,Savills,3.7,Real Estate,175,1.1k,7,16,Bengaluru +15 other locations
6345,Jagatjit Industries,3.5,Beverage,175,592,4,6,New Delhi +22 other locations
6346,Swal Corporation,4.2,Agro Chemicals,175,351,--,10,Pune +75 other locations
6347,General Industrial Controls,3.6,Industrial Automation,175,1.1k,11,11,Pune +14 other locations
6348,Unilog Content Solutions ( P),3.5,Software Product,175,1.2k,5,17,Mysuru +5 other locations
6349,Indian School of Business,3.3,Analytics & KPO,175,1k,9,12,Hyderabad +9 other locations
